real_1,est_1,real_2,est_2,real_1∪2,est_1∪2,real_1∩2,est_1∩2,real_jaccard,est_jaccard,jaccard_error
100010, 100002, 100010, 100035, 200000, 200006, 20, 19, 1.0E-4, 9.959898304196263E-5,0.4010169580373761
100010, 100004, 100010, 100034, 200000, 200007, 20, 20, 1.0E-4, 1.0484048520176552E-4,-4.840485201765512
100020, 100012, 100020, 100042, 200000, 200002, 40, 38, 2.0E-4, 1.939599813379045E-4,3.0200093310477563
100020, 100013, 100020, 100046, 200000, 200007, 40, 40, 2.0E-4, 2.0443894614344276E-4,-2.219473071721377
100020, 100014, 100020, 100044, 200000, 200006, 40, 40, 2.0E-4, 2.044400178229759E-4,-2.220008911487951
100020, 100010, 100020, 100045, 200000, 200004, 40, 37, 2.0E-4, 1.8871584112223021E-4,5.642079438884897
100020, 100013, 100020, 100045, 200000, 200006, 40, 38, 2.0E-4, 1.9395591434487458E-4,3.0220428275627165
100030, 100025, 100030, 100053, 200000, 200005, 60, 56, 3.0E-4, 2.8307227778826195E-4,5.642574070579343
100030, 100025, 100030, 100054, 200000, 200006, 60, 60, 3.0E-4, 3.040390008649385E-4,-1.3463336216461843
100030, 100023, 100030, 100053, 200000, 200004, 60, 57, 3.0E-4, 2.8831586838118503E-4,3.8947105396049824
100030, 100023, 100030, 100053, 200000, 200004, 60, 57, 3.0E-4, 2.8831586838118503E-4,3.8947105396049824
100030, 100026, 100030, 100056, 200000, 200010, 60, 60, 3.0E-4, 3.0403421957561015E-4,-1.344739858536724
100040, 100033, 100040, 100065, 200000, 200005, 80, 78, 4.0E-4, 3.93155941372586E-4,1.7110146568535007
100040, 100032, 100040, 100064, 200000, 200004, 80, 79, 4.0E-4, 3.984001090358193E-4,0.3999727410451778
100040, 100033, 100040, 100061, 200000, 200001, 80, 75, 4.0E-4, 3.774376179492556E-4,5.640595512686099
100040, 100034, 100040, 100061, 200000, 200002, 80, 76, 4.0E-4, 3.826778010180278E-4,4.330549745493059
100040, 100034, 100040, 100067, 200000, 200008, 80, 81, 4.0E-4, 4.0887574895029014E-4,-2.218937237572529
100050, 100045, 100050, 100077, 200000, 200011, 100, 101, 5.0E-4, 5.084683570181738E-4,-1.6936714036347573
100050, 100044, 100050, 100077, 200000, 200008, 100, 101, 5.0E-4, 5.084736877971557E-4,-1.6947375594311307
100050, 100044, 100050, 100074, 200000, 200005, 100, 100, 5.0E-4, 5.032396049569101E-4,-0.6479209913820256
100050, 100042, 100050, 100071, 200000, 200000, 100, 94, 5.0E-4, 4.7179949569876124E-4,5.640100860247753
100050, 100043, 100050, 100074, 200000, 200004, 100, 99, 5.0E-4, 4.980001362947741E-4,0.39997274104517244
100060, 100053, 100060, 100087, 200000, 200006, 120, 120, 6.0E-4, 6.028359499908264E-4,-0.4726583318044041
100060, 100053, 100060, 100089, 200000, 200008, 120, 120, 6.0E-4, 6.028296298626073E-4,-0.4716049771012277
100060, 100056, 100060, 100080, 200000, 200003, 120, 120, 6.0E-4, 6.028454304316373E-4,-0.47423840527289984
100060, 100050, 100060, 100087, 200000, 200003, 120, 120, 6.0E-4, 6.028454304316373E-4,-0.47423840527289984
100060, 100052, 100060, 100086, 200000, 200004, 120, 120, 6.0E-4, 6.028422702515687E-4,-0.4737117085947845
100070, 100064, 100070, 100097, 200000, 200006, 140, 139, 7.0E-4, 6.971928812937384E-4,0.40101695803736837
100070, 100058, 100070, 100101, 200000, 200005, 140, 142, 7.0E-4, 7.12922773688956E-4,-1.846110526993708
100070, 100065, 100070, 100096, 200000, 200006, 140, 141, 7.0E-4, 7.076769847718397E-4,-1.0967121102628108
100070, 100060, 100070, 100096, 200000, 200001, 140, 136, 7.0E-4, 6.814845879639337E-4,2.6450588622951816
100070, 100056, 100070, 100098, 200000, 200001, 140, 138, 7.0E-4, 6.919689662403019E-4,1.1472905370997266
100080, 100075, 100080, 100103, 200000, 200003, 160, 161, 8.0E-4, 8.072886633606274E-4,-0.9110829200784152
100080, 100074, 100080, 100107, 200000, 200005, 160, 165, 8.0E-4, 8.282485164915812E-4,-3.5310645614476495
100080, 100075, 100080, 100100, 200000, 200001, 160, 158, 8.0E-4, 7.915705598658E-4,1.0536800167750047
100080, 100070, 100080, 100103, 200000, 199996, 160, 156, 8.0E-4, 7.811025603388622E-4,2.362179957642228
100080, 100074, 100080, 100101, 200000, 200001, 160, 160, 8.0E-4, 8.020549381421682E-4,-0.2568672677710185
100090, 100086, 100090, 100110, 200000, 200002, 180, 179, 9.0E-4, 8.964096434805857E-4,0.3989285021571433
100090, 100085, 100090, 100116, 200000, 200005, 180, 180, 9.0E-4, 9.016376255477973E-4,-0.1819583941997048
100090, 100085, 100090, 100113, 200000, 200002, 180, 178, 9.0E-4, 8.911674818228044E-4,0.981390908577284
100090, 100084, 100090, 100112, 200000, 200000, 180, 183, 9.0E-4, 9.173879083031469E-4,-1.9319898114607656
100100, 100096, 100100, 100128, 200000, 200007, 200, 202, 0.001, 0.0010117106821970372,-1.1710682197037203
100090, 100084, 100090, 100112, 200000, 200000, 180, 183, 9.0E-4, 9.173879083031469E-4,-1.9319898114607656
100100, 100092, 100100, 100125, 200000, 200000, 200, 199, 0.001, 9.960211575862738E-4,0.3978842413726201
100100, 100094, 100100, 100130, 200000, 200008, 200, 205, 0.001, 0.0010274313691571394,-2.7431369157139387
100100, 100092, 100100, 100119, 200000, 199994, 200, 198, 0.001, 9.908049110372522E-4,0.9195088962747795
100100, 100092, 100100, 100119, 200000, 199994, 200, 198, 0.001, 9.908049110372522E-4,0.9195088962747795
150015, 150003, 150015, 149926, 300000, 299693, 30, 31, 1.0E-4, 1.0384439097055116E-4,-3.844390970551153
150015, 150003, 150015, 149926, 300000, 299693, 30, 31, 1.0E-4, 1.0384439097055116E-4,-3.844390970551153
150015, 150003, 150015, 149926, 300000, 299693, 30, 30, 1.0E-4, 1.0026354990260113E-4,-0.26354990260112326
150015, 150004, 150015, 149923, 300000, 299692, 30, 31, 1.0E-4, 1.0384476282214257E-4,-3.844762822142569
150015, 150003, 150015, 149921, 300000, 299689, 30, 28, 1.0E-4, 9.66840936761441E-5,3.315906323855908
150030, 150018, 150030, 149934, 300000, 299687, 60, 59, 2.0E-4, 1.9694978496664388E-4,1.5251075166780657
150030, 150019, 150030, 149939, 300000, 299692, 60, 62, 2.0E-4, 2.0768952564428515E-4,-3.844762822142569
150030, 150015, 150030, 149935, 300000, 299684, 60, 61, 2.0E-4, 2.04113788065431E-4,-2.0568940327154897
150030, 150018, 150030, 149933, 300000, 299685, 60, 60, 2.0E-4, 2.0053212632091587E-4,-0.26606316045792977
150045, 150031, 150045, 149951, 300000, 299686, 90, 91, 3.0E-4, 3.04378030351861E-4,-1.4593434506203435
150030, 150014, 150030, 149937, 300000, 299685, 60, 59, 2.0E-4, 1.9695119549375666E-4,1.5244022531216752
150045, 150036, 150045, 149950, 300000, 299691, 90, 92, 3.0E-4, 3.07954537316212E-4,-2.651512438737348
150045, 150036, 150045, 149949, 300000, 299690, 90, 91, 3.0E-4, 3.0437476052868104E-4,-1.4582535095603568
150045, 150031, 150045, 149956, 300000, 299690, 90, 90, 3.0E-4, 3.007938809930495E-4,-0.2646269976831754
150060, 150041, 150060, 149969, 300000, 299685, 120, 115, 4.0E-4, 3.8674052933319484E-4,3.3148676667012937
150045, 150035, 150045, 149955, 300000, 299694, 90, 96, 3.0E-4, 3.222745421015881E-4,-7.424847367196048
150060, 150048, 150060, 149971, 300000, 299695, 120, 123, 4.0E-4, 4.11793773678142E-4,-2.9484434195354914
150060, 150041, 150060, 149964, 300000, 299682, 120, 114, 4.0E-4, 3.8316371475430967E-4,4.209071311422587
150060, 150038, 150060, 149963, 300000, 299677, 120, 111, 4.0E-4, 3.7242614145031335E-4,6.893464637421666
150060, 150045, 150060, 149970, 300000, 299692, 120, 123, 4.0E-4, 4.1179819739815154E-4,-2.9495493495378797
150075, 150065, 150075, 149984, 300000, 299695, 150, 154, 5.0E-4, 5.156374209534995E-4,-3.127484190699895
150075, 150066, 150075, 149983, 300000, 299695, 150, 156, 5.0E-4, 5.22799051800076E-4,-4.559810360015189
150075, 150058, 150075, 149988, 300000, 299692, 150, 151, 5.0E-4, 5.04900398549038E-4,-0.9800797098076042
150075, 150059, 150075, 149979, 300000, 299687, 150, 151, 5.0E-4, 5.049076305508507E-4,-0.9815261101701281
150075, 150062, 150075, 149981, 300000, 299691, 150, 151, 5.0E-4, 5.049022065300685E-4,-0.9804413060137068
150090, 150077, 150090, 149995, 300000, 299689, 180, 178, 6.0E-4, 5.944281314903673E-4,0.9286447516054331
150090, 150072, 150090, 149994, 300000, 299682, 180, 177, 6.0E-4, 5.908599339669262E-4,1.5233443388456327
150090, 150077, 150090, 149997, 300000, 299689, 180, 182, 6.0E-4, 6.087517009238702E-4,-1.4586168206450423
150090, 150072, 150090, 149988, 300000, 299676, 180, 174, 6.0E-4, 5.837084465835151E-4,2.7152589027474705
150090, 150075, 150090, 150002, 300000, 299692, 180, 184, 6.0E-4, 6.15906869152018E-4,-2.651144858669673
150105, 150092, 150105, 150008, 300000, 299687, 210, 207, 7.0E-4, 6.911146999738594E-4,1.2693285751629395
150105, 150089, 150105, 150010, 300000, 299687, 210, 211, 7.0E-4, 7.054383206987063E-4,-0.7769029569580396
150105, 150094, 150105, 150016, 300000, 299698, 210, 214, 7.0E-4, 7.16157955798731E-4,-2.3082793998187148
150105, 150091, 150105, 150007, 300000, 299684, 210, 206, 7.0E-4, 6.875411808519781E-4,1.779831306860271
150105, 150087, 150105, 150009, 300000, 299683, 210, 207, 7.0E-4, 6.911245993804946E-4,1.2679143742150625
150120, 150102, 150120, 150031, 300000, 299690, 240, 243, 8.0E-4, 8.1285965458836E-4,-1.6074568235449886
150120, 150107, 150120, 150031, 300000, 299695, 240, 246, 8.0E-4, 8.23587547356284E-4,-2.9484434195354914
150120, 150103, 150120, 150028, 300000, 299689, 240, 236, 8.0E-4, 7.877963188426556E-4,1.5254601446680518
150120, 150105, 150120, 150024, 300000, 299687, 240, 239, 8.0E-4, 7.985418554102106E-4,0.18226807372368
150120, 150101, 150120, 150027, 300000, 299684, 240, 238, 8.0E-4, 7.949694903600997E-4,0.62881370498754
150135, 150119, 150135, 150037, 300000, 299689, 270, 265, 9.0E-4, 8.844804125187997E-4,1.724398609022252
150135, 150117, 150135, 150030, 300000, 299678, 270, 266, 9.0E-4, 8.8808992626705E-4,1.323341525883326
150135, 150116, 150135, 150036, 300000, 299686, 270, 266, 9.0E-4, 8.880676650266062E-4,1.3258149970437478
150135, 150127, 150135, 150027, 300000, 299684, 270, 262, 9.0E-4, 8.773311943163262E-4,2.5187561870748603
150135, 150122, 150135, 150034, 300000, 299690, 270, 270, 9.0E-4, 9.023816429791485E-4,-0.2646269976831694
150150, 150129, 150150, 150052, 300000, 299682, 300, 301, 0.001, 0.001006252372392159,-0.6252372392158987
150150, 150134, 150150, 150051, 300000, 299690, 300, 303, 0.001, 0.0010133889085837263,-1.3388908583726296
150150, 150133, 150150, 150056, 300000, 299691, 300, 300, 0.001, 0.0010026426796341786,-0.26426796341785447
150150, 150122, 150150, 150041, 300000, 299667, 300, 290, 0.001, 9.70487858158365E-4,2.9512141841634993
150150, 150138, 150150, 150050, 300000, 299690, 300, 302, 0.001, 0.0010098080290480947,-0.9808029048094697
200020, 200025, 200020, 200125, 400000, 399996, 40, 39, 1.0E-4, 9.885655913269845E-5,1.143440867301554
200020, 200027, 200020, 200124, 400000, 399998, 40, 39, 1.0E-4, 9.885628767179713E-5,1.1437123282028783
